Call_OI,Call_IV,Call_LTP,Call_BID,Call_ASK,STRIKE,Put_BID,Put_ASK,Put_LTP,Put_IV,Put_OI
1,23.41,232,221.85,233.5,"1,320.00",1.05,1.45,1.45,23.99,24
38,17.98,154,148.6,153.9,"1,400.00",3,3.25,3.15,19.43,561
14,16.27,83,78.55,83.8,"1,480.00",11.85,12.65,12.35,17.66,131
254,15.07,66,65,72.55,"1,500.00",16.65,16.8,16.75,17.19,633
21,15.86,54,51.6,53.65,"1,520.00",22.65,23.75,22.5,16.77,87
33,15.43,47,45.05,47.7,"1,530.00",26.05,28.75,26,16.6,128
196,15.05,40.5,40.2,40.95,"1,540.00",30.1,34.55,30.25,16.6,213
147,14.94,35,34.7,35.6,"1,550.00",34.9,36,35.85,17.01,374
279,15.01,30.4,30.4,30.8,"1,560.00",39.35,42.1,39.45,16.34,75
212,15.31,22.85,22.15,22.8,"1,580.00",49.4,56.35,49,15.44,38
"1,294",15.38,16.5,16.05,16.4,"1,600.00",61.55,68.8,66,17.34,297
248,15.85,8.45,8.1,8.4,"1,640.00",94.7,102.35,94.2,16.3,9
